Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
Afghanistan,AFG,2019,502,Asia,38041754,9154,36017,1422,10335,583,4583,3751,6062,22132,12285,741,3269,28168,5148,4117,10306,24888,37033,22048,2592,3941,700,632,393,3071,276,1763,761
Albania,ALB,2019,5353,Europe,2880917,1556,7609,2445,1520,737,217,4,774,106,33,66,379,724,51,310,4425,2158,2276,3120,1,8,130,65,0,10,0,4,0
Algeria,DZA,2019,3948,Africa,43053054,22229,58602,1910,14772,1285,2648,277,7670,7092,745,936,5697,66,2741,9580,21555,38978,22162,36087,86,326,1030,1372,3,68,11,146,94
Angola,AGO,2019,17790,Africa,31825295,5713,17686,1289,2013,11906,1579,11143,1634,15876,10766,16383,449,8726,1325,796,7511,10753,14384,6981,6951,7009,557,718,323,1824,131,1680,391
Antigua and Barbuda,ATG,2019,10006,Americas,97118,30,130,11,26,28,6,1,8,4,3,12,4,0,8,18,37,130,30,91,0,2,1,3,0,0,0,0,0
Argentina,ARG,2019,4623,Americas,44780677,13120,59080,7258,11347,20962,2134,315,8578,2662,1539,4661,5374,708,3085,1088,51306,39517,13778,36676,78,933,3062,1572,2,26,4,73,45
Armenia,ARM,2019,25976,Asia,2957731,3243,7789,1062,2446,802,319,3,1006,133,47,172,1031,78,29,596,4864,5442,3287,4463,5,21,96,65,0,7,0,9,1
Australia,AUS,2019,54907,Oceania,25203198,1897,25498,1150,5114,8576,2457,40,1582,376,151,512,826,13,1500,4400,18999,17650,1907,18712,8,90,2673,2184,0,1,0,4,1
Austria,AUT,2019,50277,Europe,8955102,2668,19769,2389,2985,4944,662,3,1206,90,5,270,504,9,799,2258,12314,10910,2655,8982,8,14,594,920,0,0,0,1,0
Azerbaijan,AZE,2019,4794,Asia,10047718,8004,23865,3168,7060,4044,1393,60,3138,1612,674,352,2056,666,156,1312,12497,14434,8643,14333,51,92,347,121,0,81,4,192,5
Bahamas,BHS,2019,32933,Americas,389482,100,586,47,94,146,34,3,33,17,7,116,9,2,23,59,155,405,102,441,1,6,9,17,0,0,0,1,1
Bahrain,BHR,2019,23504,Asia,1641172,643,825,32,259,69,31,6,148,26,5,14,40,2,14,228,545,1278,638,1127,1,5,28,19,0,0,0,0,1
Bangladesh,BGD,2019,1856,Asia,163046161,83912,182937,20995,15559,10147,29969,28158,24664,39237,9415,4349,16094,94789,22467,11297,105712,101377,173515,43803,18748,15542,1384,2204,26,1351,13,1007,1106
Barbados,BRB,2019,18148,Americas,287025,175,555,31,98,126,66,3,29,16,6,53,3,0,34,115,157,631,175,451,1,12,4,13,0,0,0,0,0
Belarus,BLR,2019,6663,Europe,9452411,8483,44187,2407,12391,9807,3574,4,2435,108,36,706,4509,96,1039,3396,20509,11313,8570,19272,3,22,862,399,0,1,0,4,2
Belgium,BEL,2019,46117,Europe,11539328,3807,18655,1980,3346,7237,1316,28,1360,128,343,363,437,6,572,2559,19616,10913,3787,8573,17,78,894,1621,0,0,0,1,0
Belize,BLZ,2019,4815,Americas,390353,95,301,26,48,123,3,9,28,49,19,88,1,30,25,44,138,300,124,298,4,12,7,11,0,1,0,3,1
Benin,BEN,2019,1219,Africa,11801151,2419,7361,802,794,1971,918,4408,656,11211,7148,2224,49,9891,544,325,1938,4696,12238,4072,3338,3689,87,290,471,1858,42,772,309
Bhutan,BTN,2019,3423,Asia,763092,336,702,83,105,84,84,75,68,214,34,46,50,352,65,75,332,477,660,307,58,21,28,50,0,5,0,5,5
Bolivia,BOL,2019,3552,Americas,11513100,4011,9092,1463,1604,3070,824,439,580,2752,1614,1697,77,2276,921,621,3529,9354,6255,8983,230,638,220,510,4,152,7,139,96
Bosnia and Herzegovina,BIH,2019,6073,Europe,3301000,3710,10643,3306,1698,1303,742,3,1310,62,4,165,810,1148,222,722,8700,9091,4837,5845,1,5,190,132,0,0,0,1,0
Botswana,BWA,2019,7961,Africa,2303697,966,2510,165,318,1031,421,398,427,744,489,5580,199,636,222,171,1588,2206,1596,2137,255,392,230,60,5,58,6,63,10
Brazil,BRA,2019,8717,Americas,211049527,47257,239416,30814,33250,77477,11488,4309,27788,21523,11621,22823,816,14016,17701,45559,170120,174198,60915,177940,2450,6101,6892,12135,33,382,128,1145,325
Brunei,BRN,2019,31087,Asia,433285,40,311,70,63,15,48,1,34,18,2,23,4,1,26,35,267,417,40,187,0,2,15,11,0,0,0,0,0
Bulgaria,BGR,2019,9738,Europe,7000119,9226,47209,14933,7343,8139,3361,9,3023,139,40,534,2269,1812,563,2441,20639,21530,11013,22742,1,22,630,292,0,5,1,9,1
Burkina Faso,BFA,2019,775,Africa,20321378,3499,13233,1291,1869,6895,2223,12948,1660,18758,23662,3652,98,24303,1487,331,2990,8600,27717,5798,9803,10209,158,706,642,3641,100,2638,491
Burundi,BDI,2019,261,Africa,10864245,1092,6782,1102,955,5400,317,8097,378,7263,7650,2379,471,10004,797,100,2779,3681,11014,1813,6020,4567,81,265,228,1452,55,508,243
Cambodia,KHM,2019,3604,Asia,16486542,3663,14627,3785,1319,9655,2836,1333,3374,4368,2545,1706,166,14034,2079,681,16459,14155,17622,5255,793,1264,908,961,15,379,5,250,81
Cameroon,CMR,2019,1643,Africa,25876380,10482,18648,1656,1989,8420,1203,15130,1362,13537,15074,22839,34,12068,995,934,5414,11638,22433,13529,10531,9325,393,843,655,2730,260,2971,579
Canada,CAN,2019,1498,Americas,37411047,4393,41799,4296,9228,13622,3645,59,3243,720,316,1021,296,8,2251,5730,49646,30727,4381,29814,70,117,5062,3967,0,1,1,6,3
Cape Verde,CPV,2019,46195,Africa,549935,321,709,64,89,204,81,36,43,78,24,81,10,99,37,40,157,487,420,342,21,69,5,23,0,1,0,3,1
Central African Republic,CAF,2019,468,Africa,4745185,1027,4899,355,554,2358,591,7366,392,5296,7186,5530,13,6961,570,178,1975,3312,7919,1325,5520,3866,177,213,427,1236,68,1333,185
Chad,TCD,2019,710,Africa,15946876,2734,8252,807,1615,3381,1363,26457,1301,15823,32949,4648,165,19066,1018,266,2973,5082,21709,2714,19988,14141,175,348,1831,5662,386,6281,758
Chile,CHL,2019,14896,Americas,18952038,5935,21801,2891,3143,8556,1389,111,2325,497,575,1400,984,330,639,1244,11179,14933,6244,14095,60,111,1781,958,0,2,0,6,5
China,CHN,2019,10262,Asia,1433783686,1516904,2599879,855385,383478,514659,231120,3270,416054,34444,20497,74859,86309,363029,15706,149531,2418665,1067554,1848274,764698,1900,7575,85238,89857,21,1048,50,1637,202
Colombia,COL,2019,6432,Americas,50339443,13306,40499,10421,7112,7563,2202,528,3556,3433,1824,4716,2834,2454,3435,2648,17296,34180,15711,25730,119,573,507,1365,1,70,11,144,53
Comoros,COM,2019,1394,Africa,850886,95,737,124,90,68,52,226,74,354,199,66,16,552,81,10,250,386,646,309,172,180,8,33,5,30,2,30,5
Congo,COG,2019,2011,Africa,5380508,1850,5091,369,562,1823,490,1561,297,1823,1015,4074,20,1638,503,282,1433,3077,3470,3044,1117,1001,142,175,65,107,24,209,87
Costa Rica,CRI,2019,12238,Americas,5047561,968,4858,727,796,1113,161,55,322,198,37,339,222,104,346,155,2118,3225,1068,2804,5,60,106,281,0,1,0,4,2
Croatia,HRV,2019,14853,Europe,4130304,3244,14718,4473,2642,2929,795,8,1500,42,2,171,822,169,675,1042,9640,9287,3390,7660,1,6,132,712,0,0,0,1,0
Cyprus,CYP,2019,27858,Asia,1179551,462,1835,142,393,333,102,1,160,20,7,33,28,1,96,210,1535,1606,458,802,0,2,30,99,0,0,0,0,0
Czechia,CZE,2019,23102,Europe,10689209,6562,24817,8719,5058,6728,2469,57,2390,100,126,465,1929,80,1823,2926,20716,23555,6607,17453,4,33,663,1068,0,0,0,2,0
Democratic Republic of Congo,COD,2019,545,Africa,86790567,12117,59047,2526,5984,15684,6646,29153,2185,36752,28885,13469,418,58038,6353,2648,15717,33939,69503,20750,20657,21535,769,2597,1570,4197,236,4073,2265
Denmark,DNK,2019,59822,Europe,5771876,1475,8695,647,1774,3524,504,10,718,89,50,207,369,2,366,1111,12728,5281,1467,4128,5,30,458,568,0,0,0,1,0
Djibouti,DJI,2019,3409,Africa,973560,460,828,128,127,90,139,264,116,511,460,950,55,201,72,14,491,467,658,360,188,228,14,39,4,48,4,46,24
